ön	/ön+Adj
azdan	/az+Adj^DB+Noun+Zero+A3sg+Pnon+Abl /az+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Abl
sonrakini	/sonra+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+Pnon+Acc /sonra+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P2sg+Acc /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+Pnon+Acc /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P2sg+Acc
sonrakini	/sonra+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+Pnon+Acc /sonra+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P2sg+Acc /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+Pnon+Acc /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P2sg+Acc
aittirler	/ait+Postp+PCDat^DB+Verb+Zero+Pres+Cop+A3pl
sonrakileri	/sonra+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P3pl+Nom /sonra+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+P3pl+Nom /sonra+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+Pnon+Acc /sonra+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+P3sg+Nom /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P3pl+Nom /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+P3pl+Nom /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+Pnon+Acc /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+P3sg+Nom
sonrakileri	/sonra+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P3pl+Nom /sonra+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+P3pl+Nom /sonra+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+Pnon+Acc /sonra+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+P3sg+Nom /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P3pl+Nom /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+P3pl+Nom /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+Pnon+Acc /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+P3sg+Nom
sonrakileri	/sonra+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P3pl+Nom /sonra+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+P3pl+Nom /sonra+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+Pnon+Acc /sonra+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+P3sg+Nom /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P3pl+Nom /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+P3pl+Nom /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+Pnon+Acc /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+P3sg+Nom
sonrakileri	/sonra+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P3pl+Nom /sonra+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+P3pl+Nom /sonra+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+Pnon+Acc /sonra+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+P3sg+Nom /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P3pl+Nom /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+P3pl+Nom /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+Pnon+Acc /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+P3sg+Nom
postprandiyal	/postprandiyal+Noun+A3sg+Pnon+Nom
postprandiyal	/postprandiyal+Noun+A3sg+Pnon+Nom
fazlalar	/faz+Noun+A3sg+Pnon+Ins^DB+Verb+Zero+Pres+A3pl /fazla+Adj^DB+Verb+Zero+Pres+A3pl /fazla+Adj^DB+Noun+Zero+A3pl+Pnon+Nom /fazla+Postp+PCAbl^DB+Verb+Zero+Pres+A3pl /fazla+Postp+PCAbl^DB+Noun+Zero+A3pl+Pnon+Nom
fazlalar	/faz+Noun+A3sg+Pnon+Ins^DB+Verb+Zero+Pres+A3pl /fazla+Adj^DB+Verb+Zero+Pres+A3pl /fazla+Adj^DB+Noun+Zero+A3pl+Pnon+Nom /fazla+Postp+PCAbl^DB+Verb+Zero+Pres+A3pl /fazla+Postp+PCAbl^DB+Noun+Zero+A3pl+Pnon+Nom
öteler	/öt+Verb+Pos+Opt+A3pl /ötele+Verb+Pos+Aor+A3sg /ötele+Verb+Pos+Aor^DB+Adj+Zero /öte+Noun+A3pl+Pnon+Nom /öte+Postp+PCAbl^DB+Verb+Zero+Pres+A3pl /öte+Postp+PCAbl^DB+Noun+Zero+A3pl+Pnon+Nom
öteler	/öt+Verb+Pos+Opt+A3pl /ötele+Verb+Pos+Aor+A3sg /ötele+Verb+Pos+Aor^DB+Adj+Zero /öte+Noun+A3pl+Pnon+Nom /öte+Postp+PCAbl^DB+Verb+Zero+Pres+A3pl /öte+Postp+PCAbl^DB+Noun+Zero+A3pl+Pnon+Nom
birlikteler	/birlikte+Postp+PCIns^DB+Verb+Zero+Pres+A3pl /birlik+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A3pl /bir+Adj^DB+Noun+Ness+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A3pl /bir+Num+Card^DB+Noun+Ness+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A3pl
beraberler	/beraber+Adj^DB+Verb+Zero+Pres+A3pl /beraber+Adj^DB+Noun+Zero+A3pl+Pnon+Nom /beraber+Postp+PCIns^DB+Verb+Zero+Pres+A3pl /beraber+Postp+PCIns^DB+Noun+Zero+A3pl+Pnon+Nom
beraberler	/beraber+Adj^DB+Verb+Zero+Pres+A3pl /beraber+Adj^DB+Noun+Zero+A3pl+Pnon+Nom /beraber+Postp+PCIns^DB+Verb+Zero+Pres+A3pl /beraber+Postp+PCIns^DB+Noun+Zero+A3pl+Pnon+Nom
azken	/az+Adj^DB+Verb+Zero^DB+Adverb+While /az+Postp+PCAbl^DB+Verb+Zero^DB+Adverb+While
evvelsi	/evvelsi+Adj /evvel+Noun^DB+Adj+Almost /evvel+Postp+PCAbl^DB+Noun+Zero^DB+Adj+Almost
gibilerle	/gibi+Postp+PCNom^DB+Noun+Zero+A3pl+Pnon+Ins
üzereydik	/üzere+Postp+PCNom^DB+Verb+Zero+Past+A1pl
sonrakinde	/sonra+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+Pnon+Loc /sonra+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P2sg+Loc /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+Pnon+Loc /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P2sg+Loc
sonrakinde	/sonra+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+Pnon+Loc /sonra+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P2sg+Loc /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+Pnon+Loc /sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P2sg+Loc
öncelerden	/ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3pl+Pnon+Abl /önce+Noun+A3pl+Pnon+Abl /önce+Postp+PCAbl^DB+Noun+Zero+A3pl+Pnon+Abl /öncele+Verb+Pos+Aor^DB+Adj+Zero^DB+Noun+Zero+A3sg+Pnon+Abl
beraberliklerle	/beraber+Adj^DB+Noun+Ness+A3pl+Pnon+Ins /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Noun+Ness+A3pl+Pnon+Ins
üzeredirler	/üzere+Postp+PCNom^DB+Verb+Zero+Pres+Cop+A3pl
fazlayken	/faz+Noun+A3sg+Pnon+Ins^DB+Verb+Zero^DB+Adverb+While /fazla+Adj^DB+Verb+Zero^DB+Adverb+While /fazla+Postp+PCAbl^DB+Verb+Zero^DB+Adverb+While
öncekiyle	/önce+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+Pnon+Ins /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+Pnon+Ins
üzeresin	/üzere+Postp+PCNom^DB+Verb+Zero+Pres+A2sg
ötedir	/öte+Noun+A3sg+Pnon+Nom^DB+Adverb+Since /öte+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+Cop+A3sg /öte+Postp+PCAbl^DB+Verb+Zero+Pres+Cop+A3sg /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adverb+Since /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+Cop+A3sg
ötedir	/öte+Noun+A3sg+Pnon+Nom^DB+Adverb+Since /öte+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+Cop+A3sg /öte+Postp+PCAbl^DB+Verb+Zero+Pres+Cop+A3sg /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adverb+Since /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+Cop+A3sg
ötedir	/öte+Noun+A3sg+Pnon+Nom^DB+Adverb+Since /öte+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+Cop+A3sg /öte+Postp+PCAbl^DB+Verb+Zero+Pres+Cop+A3sg /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adverb+Since /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+Cop+A3sg
evvelin	/evvel+Noun+A3sg+P2sg+Nom /evvel+Noun+A3sg+Pnon+Gen /evvel+Postp+PCAbl^DB+Noun+Zero+A3sg+P2sg+Nom /evvel+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Gen
evvelin	/evvel+Noun+A3sg+P2sg+Nom /evvel+Noun+A3sg+Pnon+Gen /evvel+Postp+PCAbl^DB+Noun+Zero+A3sg+P2sg+Nom /evvel+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Gen
ötelerin	/ötele+Verb+Pos+Aor^DB+Adj+Zero^DB+Noun+Zero+A3sg+P2sg+Nom /öte+Noun+A3pl+P2sg+Nom /öte+Noun+A3pl+Pnon+Gen /öte+Postp+PCAbl^DB+Noun+Zero+A3pl+P2sg+Nom /öte+Postp+PCAbl^DB+Noun+Zero+A3pl+Pnon+Gen
ötelerin	/ötele+Verb+Pos+Aor^DB+Adj+Zero^DB+Noun+Zero+A3sg+P2sg+Nom /öte+Noun+A3pl+P2sg+Nom /öte+Noun+A3pl+Pnon+Gen /öte+Postp+PCAbl^DB+Noun+Zero+A3pl+P2sg+Nom /öte+Postp+PCAbl^DB+Noun+Zero+A3pl+Pnon+Gen
öncesiydi	/ön+Adj^DB+Adj+AsIf^DB+Adj+JustLike^DB+Verb+Zero+Past+A3sg /ön+Adj^DB+Adj+AsIf^DB+Adj+JustLike^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg /ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Past+A3sg /önce+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Past+A3sg /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Past+A3sg
kadarken	/kadar+Noun+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While /kadar+Postp+PCDat^DB+Verb+Zero^DB+Adverb+While /kadar+Postp+PCDat^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While
kadarken	/kadar+Noun+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While /kadar+Postp+PCDat^DB+Verb+Zero^DB+Adverb+While /kadar+Postp+PCDat^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While
göreydi	/gör+Verb+Pos+Opt+Past+A3sg /göre+Postp+PCDat^DB+Verb+Zero+Past+A3sg
önceyi	/ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3sg+Pnon+Acc /önce+Noun+A3sg+Pnon+Acc /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Acc
evvelde	/evvel+Noun+A3sg+Pnon+Loc /evvel+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Loc
binaendir	/binaen+Postp+PCDat^DB+Verb+Zero+Pres+Cop+A3sg
evvelkilerin	/evvel+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+Pnon+Gen /evvel+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+P2sg+Nom /evvel+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+Pnon+Gen /evvel+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+P2sg+Nom
evvelkilerin	/evvel+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+Pnon+Gen /evvel+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+P2sg+Nom /evvel+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+Pnon+Gen /evvel+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+P2sg+Nom
evvelkiler	/evvel+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+Pnon+Nom /evvel+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3pl+Pnon+Nom
evvelini	/evvel+Noun+A3sg+P3sg+Acc /evvel+Noun+A3sg+P2sg+Acc /evvel+Postp+PCAbl^DB+Noun+Zero+A3sg+P3sg+Acc /evvel+Postp+PCAbl^DB+Noun+Zero+A3sg+P2sg+Acc
evvelini	/evvel+Noun+A3sg+P3sg+Acc /evvel+Noun+A3sg+P2sg+Acc /evvel+Postp+PCAbl^DB+Noun+Zero+A3sg+P3sg+Acc /evvel+Postp+PCAbl^DB+Noun+Zero+A3sg+P2sg+Acc
yönelikse	/yönelik+Postp+PCDat^DB+Verb+Zero+Cond+A3sg
ötesidir	/öt+Verb+Pos^DB+Noun+FeelLike+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+Cop+A3sg /öt+Verb+Pos^DB+Noun+FeelLike+A3sg+Pnon+Nom^DB+Adverb+Since /öte+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+Cop+A3sg /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+Cop+A3sg
beraberliklerinin	/beraber+Adj^DB+Noun+Ness+A3pl+P3sg+Gen /beraber+Adj^DB+Noun+Ness+A3pl+P2sg+Gen /beraber+Adj^DB+Noun+Ness+A3pl+P3pl+Gen /beraber+Adj^DB+Noun+Ness+A3sg+P3pl+Gen /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Noun+Ness+A3pl+P3sg+Gen /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Noun+Ness+A3pl+P2sg+Gen /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Noun+Ness+A3pl+P3pl+Gen /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+P3pl+Gen
beraberliklerinin	/beraber+Adj^DB+Noun+Ness+A3pl+P3sg+Gen /beraber+Adj^DB+Noun+Ness+A3pl+P2sg+Gen /beraber+Adj^DB+Noun+Ness+A3pl+P3pl+Gen /beraber+Adj^DB+Noun+Ness+A3sg+P3pl+Gen /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Noun+Ness+A3pl+P3sg+Gen /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Noun+Ness+A3pl+P2sg+Gen /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Noun+Ness+A3pl+P3pl+Gen /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+P3pl+Gen
beraberliklerinin	/beraber+Adj^DB+Noun+Ness+A3pl+P3sg+Gen /beraber+Adj^DB+Noun+Ness+A3pl+P2sg+Gen /beraber+Adj^DB+Noun+Ness+A3pl+P3pl+Gen /beraber+Adj^DB+Noun+Ness+A3sg+P3pl+Gen /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Noun+Ness+A3pl+P3sg+Gen /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Noun+Ness+A3pl+P2sg+Gen /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Noun+Ness+A3pl+P3pl+Gen /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+P3pl+Gen
beraberliklerinin	/beraber+Adj^DB+Noun+Ness+A3pl+P3sg+Gen /beraber+Adj^DB+Noun+Ness+A3pl+P2sg+Gen /beraber+Adj^DB+Noun+Ness+A3pl+P3pl+Gen /beraber+Adj^DB+Noun+Ness+A3sg+P3pl+Gen /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Noun+Ness+A3pl+P3sg+Gen /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Noun+Ness+A3pl+P2sg+Gen /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Noun+Ness+A3pl+P3pl+Gen /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+P3pl+Gen
önceler	/ön+Adj^DB+Adj+AsIf^DB+Verb+Zero+Pres+A3pl /ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3pl+Pnon+Nom /önce+Noun+A3pl+Pnon+Nom /önce+Postp+PCAbl^DB+Verb+Zero+Pres+A3pl /önce+Postp+PCAbl^DB+Noun+Zero+A3pl+Pnon+Nom /öncele+Verb+Pos+Aor+A3sg /öncele+Verb+Pos+Aor^DB+Adj+Zero
önceler	/ön+Adj^DB+Adj+AsIf^DB+Verb+Zero+Pres+A3pl /ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3pl+Pnon+Nom /önce+Noun+A3pl+Pnon+Nom /önce+Postp+PCAbl^DB+Verb+Zero+Pres+A3pl /önce+Postp+PCAbl^DB+Noun+Zero+A3pl+Pnon+Nom /öncele+Verb+Pos+Aor+A3sg /öncele+Verb+Pos+Aor^DB+Adj+Zero
gibilerine	/gibi+Postp+PCNom^DB+Noun+Zero+A3pl+P3sg+Dat /gibi+Postp+PCNom^DB+Noun+Zero+A3pl+P2sg+Dat /gibi+Postp+PCNom^DB+Noun+Zero+A3pl+P3pl+Dat /gibi+Postp+PCNom^DB+Noun+Zero+A3sg+P3pl+Dat
gibilerine	/gibi+Postp+PCNom^DB+Noun+Zero+A3pl+P3sg+Dat /gibi+Postp+PCNom^DB+Noun+Zero+A3pl+P2sg+Dat /gibi+Postp+PCNom^DB+Noun+Zero+A3pl+P3pl+Dat /gibi+Postp+PCNom^DB+Noun+Zero+A3sg+P3pl+Dat
gibilerine	/gibi+Postp+PCNom^DB+Noun+Zero+A3pl+P3sg+Dat /gibi+Postp+PCNom^DB+Noun+Zero+A3pl+P2sg+Dat /gibi+Postp+PCNom^DB+Noun+Zero+A3pl+P3pl+Dat /gibi+Postp+PCNom^DB+Noun+Zero+A3sg+P3pl+Dat
gibilerine	/gibi+Postp+PCNom^DB+Noun+Zero+A3pl+P3sg+Dat /gibi+Postp+PCNom^DB+Noun+Zero+A3pl+P2sg+Dat /gibi+Postp+PCNom^DB+Noun+Zero+A3pl+P3pl+Dat /gibi+Postp+PCNom^DB+Noun+Zero+A3sg+P3pl+Dat
öncesidir	/ön+Adj^DB+Adj+AsIf^DB+Adj+JustLike^DB+Verb+Zero+Pres+Cop+A3sg /ön+Adj^DB+Adj+AsIf^DB+Adj+JustLike^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adverb+Since /ön+Adj^DB+Adj+AsIf^DB+Adj+JustLike^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+Cop+A3sg /ön+Adj^DB+Adj+AsIf^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+Cop+A3sg /önce+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+Cop+A3sg /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+Cop+A3sg
öncekinde	/önce+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+Pnon+Loc /önce+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P2sg+Loc /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+Pnon+Loc /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P2sg+Loc
öncekinde	/önce+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+Pnon+Loc /önce+Noun+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P2sg+Loc /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+Pnon+Loc /önce+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+Rel^DB+Noun+Zero+A3sg+P2sg+Loc
aitlik	/ait+Postp+PCDat^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+FitFor /ait+Postp+PCDat^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Nom
aitlik	/ait+Postp+PCDat^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+FitFor /ait+Postp+PCDat^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Nom
evveller	/evvel+Noun+A3pl+Pnon+Nom /evvel+Postp+PCAbl^DB+Verb+Zero+Pres+A3pl /evvel+Postp+PCAbl^DB+Noun+Zero+A3pl+Pnon+Nom
evveller	/evvel+Noun+A3pl+Pnon+Nom /evvel+Postp+PCAbl^DB+Verb+Zero+Pres+A3pl /evvel+Postp+PCAbl^DB+Noun+Zero+A3pl+Pnon+Nom
çok	/çok+Det /çok+Adverb /çok+Adj /çok+Postp+PCAbl
fazlayla	/fazla+Adj^DB+Noun+Zero+A3sg+Pnon+Ins /fazla+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Ins
yanayken	/yan+Noun+A3sg+Pnon+Dat^DB+Verb+Zero^DB+Adverb+While /yana+Postp+PCAbl^DB+Verb+Zero^DB+Adverb+While /yana+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While /yanay+Noun+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While
yanayken	/yan+Noun+A3sg+Pnon+Dat^DB+Verb+Zero^DB+Adverb+While /yana+Postp+PCAbl^DB+Verb+Zero^DB+Adverb+While /yana+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While /yanay+Noun+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While
itibarense	/itibaren+Postp+PCAbl^DB+Verb+Zero+Cond+A3sg
beraberi	/beraber+Adj^DB+Noun+Zero+A3sg+P3sg+Nom /beraber+Adj^DB+Noun+Zero+A3sg+Pnon+Acc /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+P3sg+Nom /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Acc
beraberi	/beraber+Adj^DB+Noun+Zero+A3sg+P3sg+Nom /beraber+Adj^DB+Noun+Zero+A3sg+Pnon+Acc /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+P3sg+Nom /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+Pnon+Acc
postprandial	/postprandial+Noun+A3sg+Pnon+Nom
postprandial	/postprandial+Noun+A3sg+Pnon+Nom
ötemizde	/öte+Noun+A3sg+P1pl+Loc /öte+Postp+PCAbl^DB+Noun+Zero+A3sg+P1pl+Loc
dairedir	/dair+Postp+PCDat^DB+Noun+Zero+A3sg+Pnon+Dat^DB+Verb+Zero+Pres+Cop+A3sg /daire+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+Cop+A3sg /daire+Noun+A3sg+Pnon+Nom^DB+Adverb+Since
beraberinizde	/beraber+Adj^DB+Noun+Zero+A3sg+P2pl+Loc /beraber+Postp+PCIns^DB+Noun+Zero+A3sg+P2pl+Loc
